,raw_address,simple_address,longitude,latitude
21,"Seoul Natl University,Coll Med,Dept Neurosurg,Spine Ctr,Bundang Hosp,82 Gumi Ro,173 Beon Gil,Seongnam 463707,Gyeonggi,South Korea.","Seoul,South Korea",126.9997,37.5663
22,"University Catania,Sect Neurosci,Dept GF Ingrassia,Catania,Italy.","Catania,Italy",15.08,37.5
23,"Portsmouth Hosp NHS Trust,Portsmouth,Hants,United Kingdom.","Portsmouth,United Kingdom",-1.08,50.8003
24,"University Castilla La Mancha,Dept Econ Anal & Finance,Toledo,Spain.","Toledo,Spain",-4.0167,39.867
25,"Keio University,Sch Med,Ctr Infect Dis & Infect Control,35 Shinanomachi,Tokyo 1608582,Japan.","Tokyo,Japan",139.7514,35.685
26,"Forschungsinst Havelhohe gGmbH,Kladower Damm 221,D-14089 Berlin,Germany.","Berlin,Germany",13.4015,52.5218
27,"Buddhist Tzu Chi Med Fdn,Taipei Tzu Chi Hosp,Dept Rehabil Med,New Taipei,Taiwan.","Taipei,Taiwan",121.5683,25.0358
28,"University Porto,EPIUnit,Inst Saude Publ,Oporto,Portugal.","Porto,Portugal",-8.62,41.15
29,"University Sunderland,Dept Pharm Hlth & Wellbeing,Sunderland,United Kingdom.","Sunderland,United Kingdom",-1.38,54.92
30,"University Kentucky,Markey Canc Ctr,Rm CC 413,Lexington,KY 40536 USA.","Lexington,USA",-79.444,37.7825
31,"University Med Ctr Hamburg Eppendorf,Dept Primary Med Care,Ctr Psychosocial Med,Martinistr 52,D-20246 Hamburg,Germany.","Hamburg,Germany",10,53.55
32,"Guilan University Med Sci,Cardiovasc Dis Res Ctr,Dept Cardiol,Heshmat Hosp,Sch Med,Rasht,Iran.","Rasht,Iran",49.63,37.3
33,"Oregon State University,Sch Psychol Sci,2950 SW Jefferson Way,Corvallis,OR 97331 USA.","Oregon,USA",-89.3887,42.9252
34,"Inland Norway University Appl Sci,Fac Publ Hlth,Dept Hlth Studies,Post Box 400,N-2418 Elverum,Norway.","Inland Norway University Appl Sci,Norway",-74.08005,40.59563
35,"Inst Social & Pre vent Med IUMSP,Route Corniche 10,CH-1010 Lausanne,Switzerland.","Lausanne,Switzerland",6.65,46.5304
36,"Asklepe Gen Hosp,Dept Cardiol,Athens,Greece.","Athens,Greece",23.7333,37.9833
37,"University Arizona,Dept Pharm Practice & Sci,Coll Pharm,1295 North Martin Ave,Tucson,AZ 85721 USA.","Martin,USA",-88.8518,36.3391
38,"Chinese Acad Med Sci,Canc Hosp,Natl Canc Ctr,Dept Radiat Oncol,17 Panjiayuan Nanli,Beijing 100021,China.","Beijing,China",116.3883,39.9289
39,"European Hlth Ctr Otwock,Dept Pulm Circulat Thromboembol Dis & Cardiol,Ctr Postgrad Med Educ,Borowa 14-18,PL-05400 Otwock,Poland.","European Hlth Ctr Otwock,Poland",21.2701,52.110458
40,"Shahed University,Fac Nursing & Midwifery,Dept Nursing,Elderly Care Res Ctr,Tehran,Iran.","Tehran,Iran",51.4243,35.6719
41,"University Sheffield,ScHARR,30 Regent St,Sheffield S1 4DA,S Yorkshire,United Kingdom.","Sheffield,United Kingdom",-1.5,53.3667
42,"University Sheffield,Sch Hlth & Related Res ScHARR,30 Regent St,Sheffield S1 4DA,S Yorkshire,United Kingdom.","Sheffield,United Kingdom",-1.5,53.3667
43,"Washington University,Sch Med,Mallinckrodt Inst Radiol,510 S Kingshighway,Box 8131,St Louis,MO 63110 USA.","Washington,USA",-77.0163,38.9047
44,"University Playa Ancha,Fac Ciencias Salud,Independencia 2002,Valparaiso,Chile.","Valparaiso,Chile",-71.621,-33.0478
45,"University Roma Tor Vergata,Dept Expt Med & Surg,Unit Resp Med,Rome,Italy.","Rome,Italy",12.4833,41.896
46,"Kristianstad University,Sch Hlth & Soc,S-29188 Kristianstad,Sweden.","Kristianstad,Sweden",14.1333,56.0337
47,"Bangor University,Ctr Hlth Econ & Med Evaluat,Normal Site,Ardudwy Bldg,Bangor LL57 2PZ,Gwynedd,United Kingdom.","Bangor,United Kingdom",-5.6654,54.6617
48,"Rural Hlth Programme,Nilphamari,Bangladesh.","Rural Hlth Programme,Bangladesh",88.8559,25.93487
49,"Fiocruz MS,Oswaldo Cruz Inst,Leprosy Lab,Av Brasil 4365,BR-21040360 Rio De Janeiro,RJ,Brazil.","Fiocruz MS,Brazil",-90.281,34.02638
50,"Natl University Singapore,Dept Pharm,Fac Sci,Block S4A,Level 3,18 Sci Dr 4,Singapore 117543,Singapore.","Singapore,Singapore",103.8558,1.293
51,"University Laval,CHU Quebec,Res Ctr,Quebec City,PQ,Canada.","Quebec,Canada",-71.2456,46.84
52,"Betty & Guy Beatty Ctr Integrated Res,Falls Church,VA 22042 USA.","Falls Church,USA",-77.1751,38.8846
53,"La Paz University Hosp,Hosp Paz Inst Hlth Res IdiPAZ,Madrid,Spain.","Madrid,Spain",-3.6834,40.4
54,"University Ulm,Inst Psychol,Dept Clin Psychol & Psychotherapy,Ulm,Germany.","Ulm,Germany",10,48.4004
55,"University Vienna,Dept Anthropol,Althanstr 14,A-1090 Vienna,Austria.","Vienna,Austria",16.3666,48.2
56,"Huazhong University Sci & Technol,Tongji Med Coll,Clin Sch 9,Affiliated Wuhan Mental Hlth Ctr,Wuhan,Hubei,China.","Wuhan,China",114.27,30.58
57,"Karolinska Inst,Dept Clin Neurosci,Div Psychol,Nobels Vag 9,S-17177 Stockholm,Sweden.","Stockholm,Sweden",18.0973,59.3508
58,"Iranian Blood Transfus Org IBTO Tower,Tehran,Iran.","Tehran,Iran",51.4243,35.6719
59,"Chinese Acad Med Sci,Dept Tradit Chinese Med,Peking Union Med Coll Hosp,Translat Med Ctr,Beijing 100730,China.","Beijing,China",116.3883,39.9289
60,"University Melbourne,Sch Populat & Global Hlth,Ctr Hlth Policy,207 Bouverie St,Carlton,Vic 3051,Australia.","Melbourne,Australia",144.975,-37.82
61,"Shariati Hosp,Rheumatol Res Ctr,POB 14114,Tehran,Iran.","Tehran,Iran",51.4243,35.6719
62,"Shariati Hosp,Rheumatol Res Ctr,POB 14114,Tehran,Iran.","Tehran,Iran",51.4243,35.6719
63,"Hiroshima University,Grad Sch Biomed & Hlth Sci,Sports Rehabil,Hiroshima,Japan.","Hiroshima,Japan",132.4429,34.3878
64,"University Fed Rio Grande do Norte,Natal,RN,Brazil.","Natal,Brazil",-60.2699,-6.9838
65,"University Med Ctr Groningen,Dept Neurol,Hanzepl 1,NL-9700 RB Groningen,Netherlands.","Groningen,Netherlands",6.58,53.2204
66,"University Groningen,University Med Ctr Groningen,Dept Neurol,NL-9700 RB Groningen,Netherlands.","Groningen,Netherlands",6.58,53.2204
67,"AstraZeneca Gothenburg,Pepparedsleden 1,S-43150 Molndal,Sweden.","AstraZeneca Gothenburg,Sweden",12.01901,57.64517
68,"University Sheffield,Sch Hlth & Related Res,Hlth Econ & Decis Sci,1 Mappin St,Sheffield S1 4DT,S Yorkshire,United Kingdom.","Sheffield,United Kingdom",-1.5,53.3667
69,"Osaka Dent University,Dept Oral Implantol,1-5-17 Ootemae,Hirakata,Osaka 5400008,Japan.","Osaka,Japan",135.4601,34.75
70,"Lund University,HSC,Dept Hlth Sci,Baravagen 3,S-22241 Lund,Sweden.","Lund University,Sweden",-97.76253,30.28885
71,"Second Mil Med University,Coll Nursing,Room 310,800 Xiangyin Rd,Shanghai 200433,China.","Shanghai,China",121.4365,31.2165
72,"Gachon University,Coll Nursing,191 Hambakmeoro,Incheon 21936,South Korea.","Incheon,South Korea",126.6422,37.4761
73,"M Sklodowska Curie Mem Canc Ctr & Inst Oncol,Dept Urooncol,Roentgena 5,PL-02928 Warsaw,Poland.","Warsaw,Poland",21,52.25
74,"Lund University,Skane University Hosp,Fac Med,Dept Clin Sci Lund,Dept Orthopaed,Orthopaed,S-22185 Lund,Sweden.","Lund University,Sweden",-97.76253,30.28885
75,"University Extremadura,Sch Sports Sci,Badajoz,Spain.","Badajoz,Spain",-6.97,38.8804
76,"Natl Inst Biomed Innovat Hlth & Nutr,Dept Nutr & Metab,Tokyo 1628636,Japan.","Tokyo,Japan",139.7514,35.685
77,"Ghent University Hosp,Dept Radiat Oncol,Ghent,Belgium.","Ghent University Hosp,Belgium",-81.98221,33.47021
78,"Amer Ctr Psychiat & Neurol,Abu Dhabi,United Arab Emirates.","Abu Dhabi,United Arab Emirates",54.3666,24.4667
79,"University York,Dept Hlth Sci,ARRC Bldg,York YO10 5DD,N Yorkshire,United Kingdom.","York,United Kingdom",-1.08,53.9704
80,"Inst Paoli Calmettes,Dept Radiat Oncol,232 Blvd St Marguerite,F-13273 Marseille 09,France.","Marseille,France",5.375,43.29
81,"Lamar University,Dept Speech & Hearing Sci,Beaumont,TX 77705 USA.","Lamar,USA",-102.6155,38.0739
82,"Kaiser Permanente Southern Calif,Dept Res & Evaluat,100 S Robles Ave,2nd Floor,Pasadena,CA 91101 USA.","Pasadena,USA",-95.1498,29.6583
83,"Northwestern University,Dept Surg & Med,Feinberg Sch Med,201 E Huron St,Galter Pavil 11-140,Chicago,IL 60611 USA.","Huron,USA",-120.0961,36.204
84,"University Southampton,SHTAC,Southampton,Hants,United Kingdom.","Southampton,United Kingdom",-1.4,50.9
85,"Norwegian Sch Sport Sci,Sognsveien 220,POB 4014 Ulleval Stad,N-0806 Oslo,Norway.","Oslo,Norway",10.75,59.9167
86,"160-500 University Ave,Toronto,ON M5G 1V7,Canada.","Toronto,Canada",-79.42,43.7
87,"Hong Kong Baptist University,Dept Social Work,Kowloon Tong,Hong Kong,China.","Hong Kong,China",114.185,22.305
88,"Natl Taiwan University,Coll Med,Sch Nursing,1,Sect 1,Jen Ai Rd,Taipei 100,Taiwan.","Taipei,Taiwan",121.5683,25.0358
89,"Publ Dent Hlth Serv,Dept Orthodont,Vretgrand 9A,SE-75322 Uppsala,Region Uppsala,Sweden.","Uppsala,Sweden",17.6333,59.85
90,"Complejo Asistencial University Leon,Secc Neumot,Leon,Spain.","Leon,Spain",-5.57,42.58
91,"Karolinska Inst,Dept Clin Sci Intervent & Technol CLINTEC,Stockholm,Sweden.","Stockholm,Sweden",18.0973,59.3508
92,"University Med Ctr Groningen,Fac Med Sci,Dept Orthopaed Surg,Hanzepl 1,NL-9713 GZ Groningen,Netherlands.","Groningen,Netherlands",6.58,53.2204
93,"University Birmingham,Inst Appl Hlth Res,Birmingham B15 2TT,W Midlands,United Kingdom.","Birmingham,United Kingdom",-1.92,52.475
94,"Royal Berkshire NHS Fdn Trust,Dept Ophthalmol,Craven Rd,Reading RG1 5AN,Berks,United Kingdom.","Reading,United Kingdom",-0.98,51.47
95,"Gifu University,Grad Sch Med,Dept Gastroenterol Internal Med,1-1 Yanagido,Gifu,Gifu 5011194,Japan.","Gifu,Japan",136.7628,35.4231
96,"Penn State Hlth Milton S Hershey Med Ctr,Dept Dermatol,500 University Dr,Hershey,PA 17033 USA.","Milton,USA",-122.3153,47.2522
97,"University Klinikum Tubingen,Poliklin Kieferorthopadie,Osianderstr 2-8,72-76,Tubingen,Germany.","University Klinikum Tubingen,Germany",9.0521,48.5229
98,"Nipissing University,Sch Nursing,750 Dundas St West,Toronto,ON M6J 3S3,Canada.","Toronto,Canada",-79.42,43.7
99,"University Eastern Finland,POB 1627,FI-70211 Kuopio,Finland.","Kuopio,Finland",27.6949,62.8943
100,"Flinders University S Australia,Discipline Palliat & Support Serv,POB 2100,Adelaide,SA 5001,Australia.","Adelaide,Australia",138.6,-34.935
101,"University East Sarajevo,Fac Med,Dept PC & Publ Hlth,Studentska 5,Foca 73300,Bosnia And Herzegovina.","Sarajevo,Bosnia And Herzegovina",18.383,43.85
102,"University Ljubljana,Dept Publ Hlth,Fac Med,Zaloska 4,Ljubljana 1000,Slovenia.","Ljubljana,Slovenia",14.515,46.0553
103,"Vrije University Amsterdam,Dept Hematol,Med Ctr,Post Box 7057,NL-1007 MB Amsterdam,Netherlands.","Amsterdam,Netherlands",4.9166,52.35
104,"Radboud University Nijmegen,Med Ctr,Dept Med Psychol 840,POB 9101,NL-6500 HB Nijmegen,Netherlands.","Radboud University Nijmegen,Netherlands",5.85865,51.84169
105,"City Hope Natl Med Ctr,CCARE,Dept Populat Sci,1500 E Duarte Rd,Duarte,CA 91010 USA.","Hope,USA",-93.5908,33.6677
106,"University Southampton,Macmillan Survivorship Res Grp,Fac Hlth Sci,Southampton SO17 1BJ,Hants,United Kingdom.","Southampton,United Kingdom",-1.4,50.9
107,"University Texas Southwestern Med Ctr Dallas,Div Nephrol,5959 Harry Hines Blvd,POB1 HP 402,Dallas,TX 75390 USA.","Dallas,USA",-96.7659,32.7938
108,"University Vermont,Dept Rehabil & Movement Sci,106 Carrigan Dr,Suite 310-D,Burlington,VT 05405 USA.","Burlington,USA",-122.3298,48.4676
109,"Sci Ctr Family Hlth & Human Reprod Problems,Dept Pediat,Timiryazeva St 16,Irkutsk 664003,Russia.","Irkutsk,Russia",104.245,52.32
110,"Cleveland Clin,Dept Cardiovasc Med,JB-1,9500 Euclid Ave,Cleveland,OH 44195 USA.","Cleveland,USA",-95.0992,30.3399
111,"University British Columbia,Ctr Hlth Serv & Policy Res,201-2206 East Mall,Vancouver,BC V6T 1Z3,Canada.","Vancouver,Canada",-123.1216,49.2734
112,"MetroHlth Med Ctr,Dept Med,Div Gastroenterol & Hepatol,Esophageal & Swallowing Ctr,2500 MetroHlth Dr,Cleveland,OH 44109 USA.","Cleveland,USA",-95.0992,30.3399
113,"Lithuanian University Hlth Sci,Neurosci Inst,Dept Neurosurg,Kaunas,Lithuania.","Kaunas,Lithuania",23.88,54.9504
114,"Alfred Hosp,Dept Gen Surg,Melbourne,Vic,Australia.","Melbourne,Australia",144.975,-37.82
115,"Oulu University Hosp,Div Orthoped & Trauma Surg,Dept Surg,PL 21,Oulu 90029,Finland.","Oulu,Finland",25.47,65
116,"Johns Hopkins,Sidney Kimmel Comprehens Canc Ctr,Baltimore,MD 21287 USA.","Hopkins,USA",-93.4058,44.9259
117,"Washington University,Dept Orthopaed Surg,One Barnes Jewish Hosp Plaza,St Louis,MO 63110 USA.","Washington,USA",-77.0163,38.9047
118,"University Calif San Francisco,Dept Neurol Surg,505 Parnassus Ave,M-779,San Francisco,CA 94143 USA.","San Francisco,USA",-122.4429,37.7561
119,"NYU,Hosp Joint Dis,Med Ctr,New York Spine Inst,Dept Orthopaed Surg,301 East 17th St,New York,NY 10003 USA.","York,USA",-97.5947,40.8708
120,"Acibadem Maslak Hosp,Comprehens Spine Ctr,Buyukdere Cad 40,TR-34100 Istanbul,Turkey.","Istanbul,Turkey",29.01,41.105
121,"University Melbourne,Sch Hlth Sci,Dept Nursing,Melbourne,Vic,Australia.","Melbourne,Australia",144.975,-37.82
122,"University Med Ctr Hamburg Eppendorf UKE,Inst Hlth Serv Res Dermatol & Nursing IVDP,Martinistr 52,D-20246 Hamburg,Germany.","Hamburg,Germany",10,53.55
123,"Yale Canc Ctr,333 Cedar St,POB 208028,New Haven,CT 06520 USA.","New Haven,USA",-85.0282,41.0669
124,"Chang Gung University Sci & Technol,Dept Nursing,Coll Nursing,Taoyuan,Taiwan.","Taoyuan,Taiwan",121.3111,24.9889
125,"Chang Gung University,Sch Nursing,Coll Med,Taoyuan,Taiwan.","Taoyuan,Taiwan",121.3111,24.9889
126,"University Penn,Div Rheumatol,White Bldg,5th Floor,3400 Spruce St,Philadelphia,PA 19104 USA.","Philadelphia,USA",-75.134,40.0076
127,"Quantify Res,Stockholm,Sweden.","Stockholm,Sweden",18.0973,59.3508
128,"Oregon Hlth & Sci University,OHSU Knight Canc Inst,3303 SW Bond Ave,CH14R,Portland,OR 97239 USA.","Oregon,USA",-89.3887,42.9252
129,"Radboud University Nijmegen,Dept Internal Med,Med Ctr,Geert Grootepl Zuid 10,Nijmegen,Netherlands.","Radboud University Nijmegen,Netherlands",5.85865,51.84169
130,"Xi An Jiao Tong University,Affiliated Hosp 1,Dept Cardiol,277 Yanta W Rd,Xian 710061,Shaanxi,China.","Xian,China",108.895,34.275
131,"Sichuan University,State Key Lab Oral Dis,Natl Clin Res Ctr Oral Dis,West China Hosp Stomatol,14,3rd Sect,RenMin South Rd,Chengdu 610041,Sichuan,China.","Chengdu,China",104.07,30.67
132,"University Sydney,George Inst Global Hlth,Sydney Med Sch,POB M201,Missenden Rd,Sydney,NSW 2050,Australia.","Sydney,Australia",151.1852,-33.92
133,"London Sch Econ & Polit Sci,Personal Social Serv Res Unit,London,United Kingdom.","London,United Kingdom",-0.1167,51.5
134,"Tokyo Metropolitan Inst Med Sci,Mental Hlth & Nursing Res Team,Setagaya Ku,Tokyo,Japan.","Tokyo,Japan",139.7514,35.685
135,"Guangzhou Med University,Guangzhou Inst Resp Dis,Affiliated Hosp 1,State Key Lab Resp Dis,Guangzhou,Guangdong,China.","Guangzhou,China",113.325,23.145
136,"Taipei Med University,Inst Injury Prevent & Control,250 Wu Hsing St,Taipei 11031,Taiwan.","Taipei,Taiwan",121.5683,25.0358
137,"Childrens Hosp Eastern Ontario,Hlth Act Living & Obes Res Grp,Res Inst,401 Smyth Rd,Ottawa,ON K1H 8L1,Canada.","Ottawa,Canada",-75.7,45.4167
138,"Marmara University,Sch Med,Dept Rheumatol,TR-34890 Pendik Istanbul,Turkey.","Istanbul,Turkey",29.01,41.105
139,"George & Fay Yee Ctr Healthcare Innovat,Knowledge Synth Platform,753 McDermot Ave,Winnipeg,MB R3E 0T6,Canada.","Winnipeg,Canada",-97.166,49.883
140,"University Calif San Diego,Sch Med,La Jolla,CA 92093 USA.","San Diego,USA",-117.1225,32.8312
141,"University Klinikum Dresden,Klin & Poliklin Hals Nasen Ohrenheilkunde Kopf Ha,Fetscherstr 74,D-01307 Dresden,Germany.","Dresden,Germany",13.75,51.05
142,"Natl Canc Ctr,Ctr Breast Canc,323 Ilsan Ro,Goyang Si 10408,Gyeonggi Do,South Korea.","Goyang,South Korea",126.8372,37.6527
143,"University Calif Los Angeles,Dept Med,Los Angeles,CA 90024 USA.","Los Angeles,USA",-118.4068,34.114
144,"RAND Corp,RAND Hlth,Santa Monica,CA 90401 USA.","Santa Monica,USA",-118.4813,34.0232
145,"University Autonoma Barcelona,Vall dHebron University Hosp,Addict & Dual Diag Unit,CIBERSAM,Psychiat Deparment,Agencia Salud Publ Barcelona,Barcelona,Spain.","Barcelona,Spain",2.1834,41.3833
146,"Charite,Dept Psychosomat Med,Ctr Internal Med & Dermatol,Charitepl 1,D-10117 Berlin,Germany.","Berlin,Germany",13.4015,52.5218
147,"Escuela Andaluza Salud Publ,Granada,Spain.","Granada,Spain",-3.585,37.165
148,"Hosp del Mar,Hlth Serv Res Unit,IMIM,Inst Med Res,Barcelona Biomed Res Pk Off 138-03,Dr Aiguader 88,Barcelona 08003,Spain.","Barcelona,Spain",2.1834,41.3833
149,"University Hong Kong,Dept Family Med & Primary Care,Ap Lei Chau,Hong Kong,China.","Hong Kong,China",114.185,22.305
150,"Seoul Natl University,Coll Med,Spine Ctr,166 Gumiro,Sungnam 463707,South Korea.","Seoul,South Korea",126.9997,37.5663
151,"Minist Hlth,Israel Ctr Dis Control,IL-52621 Tel Hashomer,Israel.","Minist Hlth,Israel",34.84478,32.16718
152,"University Pittsburgh,Dept Gen Internal Med,Med Ctr,230 McKee Pl,Suite 600,Pittsburgh,PA 15213 USA.","Pittsburgh,USA",-79.9763,40.4396
153,"Corvinus University Budapest,Dept Hlth Econ,Fovam Ter 8,H-1093 Budapest,Hungary.","Budapest,Hungary",19.0833,47.5
154,"Western Norway University Appl Sci,Svanehaugvegen 1,N-6812 Forde,Norway.","Western Norway University Appl Sci,Norway",-98.03277,43.6948
155,"Erasmus University,Med Ctr,Dept Oral & Maxillofacial Surg,Special Dent Care & Orthodont,POB 2040,NL-3000 CA Rotterdam,Netherlands.","Rotterdam,Netherlands",4.48,51.92
156,"University Peruana Cayetano Heredia,CRON Ctr Excellence Chron Dis,Armendariz 497,Lima 18,Peru.","Lima,Peru",-77.0501,-12.048
157,"University Wisconsin Madison,Madison,WI 53706 USA.","Madison,USA",-89.3921,43.0809
158,"Springer,Private Bag 65901,Auckland 0754,New Zealand.","Auckland,New Zealand",174.763,-36.8481
159,"Springer,Private Bag 65901,Auckland 0754,New Zealand.","Auckland,New Zealand",174.763,-36.8481
160,"Boston Childrens Hosp,300 Longwood Ave,Boston,MA 02115 USA.","Boston,USA",-71.0838,42.3189
161,"Erasmus MC,University Med Ctr Rotterdam,Dept Gen Practice,POB 2040,NL-3000 CA Rotterdam,Netherlands.","Rotterdam,Netherlands",4.48,51.92
162,"University Hosp Heidelberg,Dept Anaesthesiol,Ctr Pain Therapy & Palliat Care Med,D-69120 Heidelberg,Germany.","Heidelberg,Germany",8.7,49.42
163,"100 East Newton St,Boston,MA 02118 USA.","Newton,USA",-74.7527,41.0535
164,"New York State Psychiat Inst & Hosp,Div Substance Use Disorders,1051 Riverside Dr,Unit 120,New York,NY 10032 USA.","York,USA",-97.5947,40.8708
165,"Monash University,Melbourne,Vic,Australia.","Melbourne,Australia",144.975,-37.82
166,"University Calif San Francisco,Dept Orthopaed Surg,500 Parnassus Ave,MU West 3rd Floor,San Francisco,CA 94143 USA.","San Francisco,USA",-122.4429,37.7561
167,"University Bordeaux,Bordeaux University Hosp,CHU Tripode Pellegrin,Dept Spinal Surg Unit 1,Pl Amelie Raba Leon,F-33076 Bordeaux,France.","Bordeaux,France",-0.595,44.85
168,"University British Columbia,Sch Populat & Publ Hlth,Ctr Hlth Serv & Policy Res,201-2206 East Mall,Vancouver,BC V6T 1Z3,Canada.","Vancouver,Canada",-123.1216,49.2734
169,"Massachusetts Gen Hosp,Dept Neurol,149 13th St,Charlestown,MA 02129 USA.","Charlestown,USA",-85.6677,38.427
170,"University Klinikum Koln,Ctr Integrierte Onkol Koln Bonn CIO,Kerpener Str 62,D-50937 Cologne,Germany.","Bonn,Germany",7.08,50.7205
171,"Charite,Berlin,Germany.","Berlin,Germany",13.4015,52.5218
172,"6705 S Kingery Highway,Willowbrook,IL 60527 USA.","Willowbrook,USA",-87.9456,41.7635
173,"University Leipzig,Dept Cariol Endodontol & Periodontol,Liebigstr 12,Leipzig,Germany.","Leipzig,Germany",12.41,51.3354
174,"Jena University Hosp,Dept Prevent Dent & Paediat Dent,Bachstr 18,D-07743 Jena,Germany.","Jena,Germany",11.58,50.9304
175,"Metropolitan Autonomous University Xochimilco,Hlth Care Dept,Calzada Hueso 1100,Mexico City,DF,Mexico.","Mexico City,Mexico",-99.131,19.4424
176,"Massachusetts Eye & Ear Infirm,Dept Otolaryngol,243 Charles St,Boston,MA 02114 USA.","Boston,USA",-71.0838,42.3189
177,"University Sydney,Clin Psychol Unit,Bldg MO2F,Level 3,94 Mallett St,Camperdown,NSW 2050,Australia.","Sydney,Australia",151.1852,-33.92
178,"State University Paraiba UEPB,Postgrad Program Dent,Campina Grande,Paraiba,Brazil.","Campina Grande,Brazil",-35.88,-7.23
179,"University Luterana Brasil,Dept Pediat Dent,Canoas,Brazil.","Canoas,Brazil",-51.18,-29.92
180,"Fac Med,Dept Clin Pharmacol,37 Allees Jules Guesde,F-31000 Toulouse,France.","Toulouse,France",1.4499,43.62
181,"UCL,Div Psychiat,London,United Kingdom.","London,United Kingdom",-0.1167,51.5
182,"University Leipzig,Occupat Hlth & Publ Hlth ISAP,Inst Social Med,Philipp Rosenthal Str 55,Leipzig,Germany.","Leipzig,Germany",12.41,51.3354
183,"HGU Gregorio Maranon,Serv Neurol,Dr Esquerdo 46,Madrid 28007,Spain.","Madrid,Spain",-3.6834,40.4
184,"Peking University,Inst Hematol,Peoples Hosp,11 Xizhimen South St,Beijing 100044,China.","Beijing,China",116.3883,39.9289
185,"NYU,Coll Dent,137 E 25th St,5th Floor,New York,NY 10010 USA.","York,USA",-97.5947,40.8708
186,"University Texas Hlth Sci Ctr Houston,McGovern Med Sch,Texas Med Ctr,Houston,TX 77030 USA.","Houston,USA",-95.3936,29.7871
187,"University Estadual Campinas,Piracicaba Dent Sch,Div Periodont,Ave Limeira,901 Areiao,POB 52,BR-13414903 Piracicaba,SP,Brazil.","Campinas,Brazil",-47.1,-22.9
188,"University Massachusetts,Dept Quantitat Hlth Sci,Albert Sherman Ctr,Sch Med,368 Plantat St,Worcester,MA 01605 USA.","Sherman,USA",-96.6195,33.6266
189,"University Athens,Laiko Gen Hosp,Sch Med,Dept Med 1,Ag Thoma 17,Athens 11527,Greece.","Athens,Greece",23.7333,37.9833
190,"Ctr Hosp University Reims,Hop Sebastopol,Serv Med Phys & Readaptat,Ctr Reference Malad Neuromusculaires,EA 3797,48 Rue Sebastopol,F-51092 Reims,France.","Reims,France",4.03,49.2504
